"hipotese_id","hipotese","evidencia_usada","teste_executado","resultado","status","nivel_confianca","riscos","dados_ausentes","conclusao_permitida","conclusao_proibida"
"H1","queda causada por fechamento de lojas","outputs/tables/vendas_same_store_yoy.csv; docs/sales_store_category_assortment.md","Contagem mensal de lojas com venda observada, lojas comparaveis YoY e dias com venda por loja-mes.","Em 2025, 130 de 132 pares loja-mes sao comparaveis; todas as 11 lojas tiveram venda observada em todos os meses de 2025. Ausencia de venda nao prova fechamento operacional.","Rejeitada","Media","Nao ha calendario oficial de abertura, fechamento, reforma ou operacao; dias com venda medem atividade observada, nao status operacional.","DADO AUSENTE: calendario operacional de lojas; eventos de fechamento temporario; mudancas de horario.","A queda observada nao e explicada por fechamento amplo de lojas nos dados de venda disponiveis.","A queda foi causada por fechamento de lojas."
"H2","queda concentrada em poucas categorias","outputs/tables/vendas_categorias_yoy.csv; docs/sales_store_category_assortment.md","Classificacao YoY por categoria e periodo, comparando mesmo mes ou trimestre do ano anterior.","Em 2025 mensal, ha 206 linhas de queda generalizada, 23 de queda concentrada, 38 de crescimento e 9 de comportamento atipico. A perda aparece ampla, embora algumas categorias concentrem perdas em periodos especificos.","Parcialmente suportada","Media","Categorias de maior receita podem pesar mais no total; resultados de 2024 nao tem base YoY 2023; contribuicao depende da janela analisada.","DADO AUSENTE: 2023 para YoY completo; margem por categoria; eventos comerciais por categoria.","A queda e majoritariamente ampla, com concentracoes pontuais por categoria e periodo.","A queda total foi explicada por poucas categorias isoladas."
"H3","queda concentrada em poucas lojas","outputs/tables/vendas_same_store_yoy.csv; docs/sales_store_category_assortment.md","Agregacao anual 2025 vs 2024 por loja e analise de comparabilidade loja-mes.","As 11 lojas tiveram queda anual observada em 2025 vs 2024, variando de -30,6% a -66,5%; a afirmacao antiga de Loja 9 crescendo +73% nao se reproduziu e ficou NAO VALIDADO.","Rejeitada","Media","Sem calendario operacional e sem contexto regional; quedas por loja podem refletir mix, estoque, concorrencia, captura ou fatores locais.","DADO AUSENTE: calendario operacional; eventos regionais; campanhas locais; alteracoes de area de venda.","A queda observada e distribuida entre lojas, com intensidades diferentes.","A queda foi causada por poucas lojas especificas ou por uma unica loja atipica."
"H4","sortimento vendido encolheu","outputs/tables/sortimento_controlado_por_volume.csv; docs/sales_store_category_assortment.md","Comparacao de SKUs observados por mes e controle por volume usando mix do mesmo mes do ano anterior.","SKUs observados cairam de 2.490 em 2024-11 para 1.212 em 2025-12. Em 2025-12, eram esperados em media 1.849,5 SKUs pelo controle de volume, e o mes ficou como estreitamento_alem_do_esperado; em 2025 houve 7 meses nessa classificacao.","Confirmada descritivamente","Media","SKUs vendidos medem sortimento observado em vendas, nao disponibilidade fisica; volume, mix, preco, campanhas e captura podem afetar a medida.","DADO AUSENTE: disponibilidade fisica por SKU-loja-dia; estoque final real; pedidos perdidos; substitutos.","O sortimento vendido observado encolheu e em parte de 2025 ficou abaixo do esperado pelo volume de linhas.","O encolhimento de SKUs vendidos prova indisponibilidade fisica de produtos."
"H5","compras/reposicao causaram queda de vendas","outputs/tables/compras_coverage_audit.csv; outputs/tables/gaps_saldo_contabil_estoque.csv; docs/inventory_reconciliation.md","Auditoria de cobertura das entradas conhecidas, gap contabil e classificacao de confiabilidade causal.","Entradas conhecidas cobrem 37,4% das vendas observadas; 74,3% dos eventos tem saldo projetado contabil negativo; 98,7% dos pares com venda nao tem compra registrada; periodo total classificado como nao confiavel para analise causal.","Inválida por limitação de dados","Baixa","A serie de compras registradas pode ser extracao parcial; correlacoes entre compras e vendas sao descritivas e podem refletir falhas de captura.","DADO AUSENTE: transferencias, ajustes, devolucoes, compras completas, estoque final real, inventario operacional.","A base disponivel de entradas e insuficiente para testar causalidade entre reposicao e queda de vendas.","Compras/reposicao causaram a queda de vendas."
"H6","base de compras esta incompleta","outputs/tables/compras_coverage_audit.csv; outputs/tables/data_quality_report.csv; docs/data_contract.md; docs/inventory_reconciliation.md","Checks de cobertura por lojas, produtos, entradas conhecidas e gaps contabeis.","Apenas 7 de 11 lojas e 329 de 2.731 produtos tem compras registradas; entradas conhecidas somam 1.738.060,621 contra 4.641.883,61 vendidos; data_quality_report tem FAIL para cobertura de compras por lojas e produtos.","Confirmada descritivamente","Alta","Incompletude da base nao identifica sozinha qual processo esta faltando nem se houve mudanca operacional real.","DADO AUSENTE: universo oficial de entradas; transferencias; ajustes; devolucoes; mudancas de sistema.","A base de compras entregue nao sustenta sozinha a reconstrucao completa das entradas de estoque.","A incompletude da base prova reducao operacional real de compras."
"H7","queda pode ser demanda real e nao ruptura","docs/business_rules.md; docs/metric_catalog.md; outputs/tables/sortimento_controlado_por_volume.csv; outputs/tables/compras_coverage_audit.csv","Revisao das limitacoes: venda observada, ausencia de disponibilidade fisica e baixa cobertura das entradas conhecidas.","Os dados nao medem procura nao atendida nem disponibilidade fisica. A queda pode refletir menor procura, mudanca de mix, preco, concorrencia, disponibilidade, captura de dados ou combinacao desses fatores.","Exploratória","Baixa","Formula da hipotese e plausivel, mas nao testavel sem dados de disponibilidade ou procura nao atendida.","DADO AUSENTE: pedidos perdidos; trafego; estoque operacional; disponibilidade em loja; concorrencia; campanhas; indicadores macro locais.","A explicacao por menor procura permanece plausivel e nao pode ser descartada com os dados atuais.","A venda observada mede demanda real ou prova ausencia de problema de disponibilidade."
"H8","preco explica parte da queda","outputs/tables/produtos_correlacao_preco_volume_negativa.csv; docs/pricing_projection_recommendations.md","Calculo de correlacao preco-volume por produto com minimo de 8 observacoes e filtro de receita.","160 produtos tem correlacao negativa abaixo de -0,4 e foram classificados como associacao exploratoria de baixa confianca. Isso prioriza investigacao comercial, mas nao explica a queda agregada.","Exploratória","Baixa","Preco, mix, disponibilidade, loja e sazonalidade variam juntos; correlacao nao mede efeito causal.","DADO AUSENTE: margem, concorrencia, campanhas, testes controlados, disponibilidade por periodo.","Preco pode ser investigado como fator associado em parte dos produtos.","Preco explica causalmente a queda ou a correlacao observada mede elasticidade."
"H9","recomendacoes de compra sao acionaveis","outputs/tables/triagem_compras.csv; outputs/tables/projecao_venda_observada_2026.csv; docs/pricing_projection_recommendations.md","Verificacao de status_decisao_final, compra liquida e dados criticos por produto.","triagem_compras tem 2.729 linhas, todas com nivel_confianca BLOQUEADO e status_decisao_final BLOQUEADO. A projecao tem compra liquida bloqueada em 2.729 produtos.","Inválida por limitação de dados","Baixa","Compra bruta projetada pode ser util para priorizacao, mas sem estoque confiavel e parametros comerciais nao vira pedido.","DADO AUSENTE: estoque atual confiavel, lead time, lote minimo, fornecedor, margem, nivel de servico, caixa, calendario comercial.","As listas de compra servem como triagem de investigacao e priorizacao.","As recomendacoes de compra sao pedidos finais acionaveis."
"H10","recomendacoes de descontinuacao sao acionaveis","outputs/tables/triagem_descontinuacao.csv; outputs/tables/triagem_promocao.csv; docs/pricing_projection_recommendations.md","Verificacao de status_decisao_final, nivel de confianca e dados faltantes nas triagens comerciais.","triagem_descontinuacao tem 224 linhas e todas estao BLOQUEADO/BLOQUEADO. triagem_promocao tem 1.961 linhas com confianca Baixa e status bloqueado. Faltam dados para acao automatica.","Inválida por limitação de dados","Baixa","Itens de baixa venda podem ter papel estrategico, substitutos, sazonalidade ou margem relevante; estoque parado depende de inventario confiavel.","DADO AUSENTE: margem, idade do estoque, custo de armazenagem, papel estrategico, substitutos, devolucoes, garantias, campanhas, estoque atual confiavel.","As listas de descontinuacao e promocao sao triagens para revisao comercial.","As recomendacoes de descontinuacao sao acoes finais acionaveis."
